T,R,G,B
4340,1.0,0.869629723876,0.640749987393
4350,1.0,0.871345383649,0.64378994893
4360,1.0,0.873058193186,0.646831299124
4370,1.0,0.874768156524,0.649874004598
4380,1.0,0.8764752777,0.652918032171
4390,1.0,0.878179560753,0.655963348865
4400,1.0,0.879881009723,0.659009921904
4410,1.0,0.881579628648,0.662057718706
4420,1.0,0.88327542157,0.665106706893
4430,1.0,0.884968392529,0.66815685428
4440,1.0,0.886658545567,0.671208128881
4450,1.0,0.888345884727,0.674260498905
4460,1.0,0.89003041405,0.677313932758
4470,1.0,0.891712137581,0.680368399038
4480,1.0,0.893391059364,0.68342386654
4490,1.0,0.895067183442,0.686480304249
4500,1.0,0.896740513861,0.689537681344
4510,1.0,0.898411054666,0.692595967194
4520,1.0,0.900078809902,0.69565513136
4530,1.0,0.901743783616,0.698715143594
4540,1.0,0.903405979855,0.701775973834
4550,1.0,0.905065402664,0.704837592209
4560,1.0,0.906722056091,0.707899969035
4570,1.0,0.908375944184,0.710963074815
4580,1.0,0.910027070991,0.714026880238
4590,1.0,0.91167544056,0.717091356178
4600,1.0,0.913321056938,0.720156473694
4610,1.0,0.914963924174,0.72322220403
4620,1.0,0.916604046318,0.726288518611
4630,1.0,0.918241427418,0.729355389046
4640,1.0,0.919876071524,0.732422787124
4650,1.0,0.921507982684,0.735490684817
4660,1.0,0.923137164947,0.738559054275
4670,1.0,0.924763622364,0.741627867829
4680,1.0,0.926387358984,0.744697097986
4690,1.0,0.928008378857,0.747766717434
4700,1.0,0.929626686031,0.750836699035
4710,1.0,0.931242284558,0.753907015831
4720,1.0,0.932855178486,0.756977641035
4730,1.0,0.934465371864,0.760048548037
4740,1.0,0.936072868744,0.763119710403
4750,1.0,0.937677673174,0.766191101868
4760,1.0,0.939279789203,0.769262696342
4770,1.0,0.940879220881,0.772334467907
4780,1.0,0.942475972257,0.775406390816
4790,1.0,0.94407004738,0.77847843949
4800,1.0,0.945661450299,0.781550588521
4810,1.0,0.947250185062,0.784622812671
4820,1.0,0.948836255718,0.787695086867
4830,1.0,0.950419666314,0.790767386206
4840,1.0,0.9520004209,0.793839685951
4850,1.0,0.953578523522,0.796911961528
4860,1.0,0.955153978227,0.799984188532
4870,1.0,0.956726789064,0.803056342719
